Tacgia,Link,Namsinh,Tags,Quote
Terry Pratchett,/author/Terry-Pratchett,"April 28, 1948","['humor', 'open-mind', 'thinking']","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904","['humor', 'philosophy']","“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”"
J.D. Salinger,/author/J-D-Salinger,"January 01, 1919","['authors', 'books', 'literature', 'reading', 'writing']","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
George Carlin,/author/George-Carlin,"May 12, 1937","['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']",“The reason I talk to myself is because I’m the only one whose answers I accept.”
John Lennon,/author/John-Lennon,"October 09, 1940","['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
W.C. Fields,/author/W-C-Fields,"January 29, 1880","['humor', 'sinister']",“I am free of all prejudice. I hate everyone equally. ”
Ayn Rand,/author/Ayn-Rand,"February 02, 1905",[],“The question isn't who is going to let me; it's who is going to stop me.”
Mark Twain,/author/Mark-Twain,"November 30, 1835","['books', 'classic', 'reading']",“′Classic′ - a book which people praise and don't read.”
Albert Einstein,/author/Albert-Einstein,"March 14, 1879",['mistakes'],“Anyone who has never made a mistake has never tried anything new.”
Jane Austen,/author/Jane-Austen,"December 16, 1775","['humor', 'love', 'romantic', 'women']","“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",['integrity'],"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”"
Jane Austen,/author/Jane-Austen,"December 16, 1775","['books', 'library', 'reading']","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
Jane Austen,/author/Jane-Austen,"December 16, 1775","['elizabeth-bennet', 'jane-austen']","“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”"
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898","['age', 'fairytales', 'growing-up']",“Some day you will be old enough to start reading fairy tales again.”
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898",['god'],“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”
Mark Twain,/author/Mark-Twain,"November 30, 1835","['death', 'life']",“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
Mark Twain,/author/Mark-Twain,"November 30, 1835","['misattributed-mark-twain', 'truth']",“A lie can travel half way around the world while the truth is putting on its shoes.”
C.S. Lewis,/author/C-S-Lewis,"November 29, 1898","['christianity', 'faith', 'religion', 'sun']","“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”"
J.K. Rowling,/author/J-K-Rowling,"July 31, 1965",['truth'],"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”"
Jimi Hendrix,/author/Jimi-Hendrix,"November 27, 1942","['death', 'life']","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
J.M. Barrie,/author/J-M-Barrie,"May 09, 1860","['adventure', 'love']",“To die will be an awfully big adventure.”
E.E. Cummings,/author/E-E-Cummings,"October 14, 1894",['courage'],“It takes courage to grow up and become who you really are.”
Khaled Hosseini,/author/Khaled-Hosseini,"March 04, 1965",['life'],“But better to get hurt by the truth than comforted with a lie.”
Harper Lee,/author/Harper-Lee,"April 28, 1926",['better-life-empathy'],“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
Madeleine L'Engle,/author/Madeleine-LEngle,"November 29, 1918","['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
Mark Twain,/author/Mark-Twain,"November 30, 1835",['truth'],“Never tell the truth to people who are not worthy of it.”
Dr. Seuss,/author/Dr-Seuss,"March 02, 1904",['inspirational'],"“A person's a person, no matter how small.”"
George R.R. Martin,/author/George-R-R-Martin,"September 20, 1948","['books', 'mind']","“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”"
